epoch,total_loss,pde_loss,boundary_loss,learning_rate,gradient_norm
1,0.23126356303691864,0.23062369227409363,6.398771802196279e-05,0.0009999999830366175,0.5829597115516663
2,0.22589506208896637,0.2236674278974533,0.00022276307572610676,0.0009999999321464712,1.8626558780670166
3,0.19867810606956482,0.19578418135643005,0.0002893917844630778,0.0009999998473295647,0.9546387791633606
4,0.18696513772010803,0.1861964762210846,7.686673779971898e-05,0.0009999997285859037,0.6835272908210754
5,0.18858538568019867,0.18808773159980774,4.976587661076337e-05,0.0009999995759154964,0.627227783203125
6,0.27766624093055725,0.27639150619506836,0.0001274748210562393,0.000999999389318353,0.5183755159378052
7,0.345119833946228,0.3435235917568207,0.0001596230431459844,0.0009999991687944867,0.5473625063896179
8,0.25484639406204224,0.2537623941898346,0.00010839870810741559,0.0009999989143439126,0.45854243636131287
9,0.3503105640411377,0.34959423542022705,7.163274858612567e-05,0.0009999986259666479,0.33808475732803345
10,0.24193154275417328,0.2414460927248001,4.854517464991659e-05,0.0009999983036627124,0.26157718896865845
11,0.3176155686378479,0.31729406118392944,3.215175092918798e-05,0.0009999979474321283,0.18619859218597412
12,0.17904290556907654,0.17868629097938538,3.566152008716017e-05,0.0009999975572749199,0.2909611761569977
13,0.26027143001556396,0.2597739100456238,4.975298361387104e-05,0.0009999971331911138,0.25085633993148804
14,0.20951975882053375,0.20881569385528564,7.04057965776883e-05,0.0009999966751807394,0.2350546270608902
15,0.207752987742424,0.20711703598499298,6.359467806760222e-05,0.0009999961832438278,0.22769515216350555
16,0.25563493371009827,0.2551973760128021,4.375657590571791e-05,0.000999995657380413,0.20736314356327057
17,0.3703015148639679,0.3701099157333374,1.9160190277034417e-05,0.0009999950975905308,0.17232400178909302
18,0.4301442503929138,0.43010661005973816,3.7644551866833353e-06,0.0009999945038742198,0.1293622851371765
19,0.27519169449806213,0.275173544883728,1.8143448414775776e-06,0.0009999938762315205,0.04952909052371979
20,0.22593209147453308,0.22583308815956116,9.900045370159205e-06,0.000999993214662476,0.09297222644090652
